Seconds,Download(Mbps),Upload(Mbps)
1.3,0.06,0.40
2.3,0.00,0.32
3.3,0.02,0.04
4.4,0.42,0.39
5.4,1.02,0.02
6.4,0.09,0.56
7.5,0.01,0.02
8.5,1.42,0.17
9.5,3.25,0.19
10.6,0.12,0.23
11.6,0.12,0.34
12.6,0.64,0.42
13.6,0.31,0.39
14.7,0.16,0.77
15.7,0.00,0.00
16.7,0.14,0.69
17.8,0.12,0.83
18.8,0.04,0.13
19.8,0.00,0.01
20.8,0.10,0.87
21.9,0.00,0.00
22.9,0.00,0.01
23.9,0.72,0.10
25.0,2.40,0.08
26.0,6.12,0.10
27.0,4.65,0.12
28.1,5.05,0.13
29.1,6.34,0.13
30.1,6.41,0.09
31.1,5.76,0.12
32.2,6.56,0.10
33.2,6.80,0.13
34.2,5.83,0.20
35.3,6.41,0.13
36.3,6.42,0.12
37.3,5.68,0.11
38.3,5.06,0.15
39.4,5.80,0.15
40.4,6.31,0.12
41.4,6.97,0.11
42.5,5.68,0.12
43.5,6.00,0.14
44.5,6.36,0.12
45.6,7.17,0.12
46.6,6.69,0.12
47.6,4.67,0.15
48.6,7.00,0.12
49.7,6.63,0.13
50.7,6.28,0.11
51.7,6.82,0.11
52.8,4.29,0.15
53.8,6.88,0.13
54.8,5.62,0.20
55.8,6.45,0.14
56.9,5.06,0.20
57.9,4.14,0.08
58.9,6.10,0.12
59.9,6.55,0.13
61.0,6.90,0.11
62.0,6.18,0.15
63.0,5.41,0.12
64.0,5.75,0.11
65.1,6.39,0.11
66.1,7.18,0.12
67.1,6.91,0.12
68.2,6.31,0.11
69.2,6.01,0.11
70.2,6.27,0.12
71.2,6.62,0.14
72.3,5.87,0.10
73.3,6.70,0.11
74.3,5.56,0.10
75.3,5.98,0.11
76.4,7.36,0.12
77.4,7.33,0.12
78.4,6.48,0.11
79.4,4.77,0.08
80.4,6.26,0.10
81.5,6.77,0.12
82.5,5.70,0.13
83.5,5.62,0.10
84.5,5.42,0.10
85.5,5.73,0.12
86.6,5.98,0.13
87.6,4.88,0.12
88.6,5.81,0.14
89.6,5.53,0.09
90.7,4.70,0.09
91.7,6.39,0.11
92.7,6.16,0.10
93.7,6.17,0.12
94.8,5.31,0.09
95.8,6.38,0.09
96.8,6.70,0.09
97.8,6.58,0.10
98.9,6.05,0.09
99.9,6.74,0.09
100.9,6.03,0.11
102.0,6.38,0.10
103.0,5.10,0.16
104.0,5.30,0.11
105.1,1.98,0.38
106.1,2.11,0.63
107.1,0.90,0.20
108.1,0.18,0.32
109.2,5.16,0.10
110.2,6.82,0.11
111.2,2.79,0.35
112.3,5.28,0.18
113.3,7.70,0.11
114.3,4.46,0.50
115.4,2.18,0.07
116.4,6.46,0.13
117.4,8.46,0.11
118.4,3.70,1.87
119.5,0.09,0.04
120.5,0.00,0.14
121.5,0.81,1.32
122.5,0.32,0.52
123.6,0.22,0.03
124.6,0.48,0.03
125.6,3.75,0.18
126.6,4.29,0.22
127.7,7.40,0.09
128.7,9.81,0.09
129.7,8.45,0.07
130.8,6.71,0.07
131.8,7.88,0.08
132.8,8.98,0.08
133.9,7.43,0.09
134.9,6.59,0.10
135.9,7.63,0.10
